-40	NAME	GWEIGHT	40
EWEIGHT			1.000000
-9	-9	1.000000	39.000000
-13	-13	1.000000	39.000000
-5	-5	1.000000	39.000000
-21	-21	1.000000	38.000000
10	10	1.000000	38.000000
4	4	1.000000	38.000000
6	6	1.000000	38.000000
2	2	1.000000	37.000000
0	0	1.000000	37.000000
-2	-2	1.000000	37.000000
-4	-4	1.000000	37.000000
-7	-7	1.000000	37.000000
-11	-11	1.000000	37.000000
-14	-14	1.000000	37.000000
-33	-33	1.000000	37.000000
22	22	1.000000	37.000000
4	4	1.000000	37.000000
7	7	1.000000	37.000000
9	9	1.000000	37.000000
11	11	1.000000	37.000000
14	14	1.000000	37.000000
17	17	1.000000	37.000000
20	20	1.000000	37.000000
16	16	1.000000	35.000000
14	14	1.000000	35.000000
12	12	1.000000	35.000000
9	9	1.000000	35.000000
5	5	1.000000	35.000000
26	26	1.000000	35.000000
23	23	1.000000	35.000000
18	18	1.000000	35.000000
20	20	1.000000	35.000000
20	20	1.000000	31.000000
17	17	1.000000	31.000000
13	13	1.000000	31.000000
25	25	1.000000	31.000000
28	28	1.000000	31.000000
30	30	1.000000	31.000000
13	13	1.000000	33.000000
7	7	1.000000	33.000000
4	4	1.000000	33.000000
22	22	1.000000	33.000000
16	16	1.000000	33.000000
19	19	1.000000	33.000000
-35	-35	1.000000	45.000000
-35	-35	1.000000	48.000000
-30	-30	1.000000	48.000000
-40	-40	1.000000	47.000000
-20	-20	1.000000	47.000000
-40	-40	1.000000	43.000000
-26	-26	1.000000	42.000000
-16	-16	1.000000	42.000000
-15	-15	1.000000	50.000000
-27	-27	1.000000	52.000000
-16	-16	1.000000	55.000000
-27	-27	1.000000	57.000000
31	31	1.000000	57.000000
22	22	1.000000	57.000000
20	20	1.000000	57.000000
-34	-34	1.000000	56.000000
31	31	1.000000	56.000000
20	20	1.000000	59.000000
22	22	1.000000	59.000000
23	23	1.000000	59.000000
27	27	1.000000	59.000000
28	28	1.000000	59.000000
29	29	1.000000	59.000000
31	31	1.000000	59.000000
20	20	1.000000	60.000000
21	21	1.000000	60.000000
22	22	1.000000	60.000000
27	27	1.000000	60.000000
29	29	1.000000	60.000000
21	21	1.000000	58.000000
23	23	1.000000	58.000000
27	27	1.000000	58.000000
28	28	1.000000	58.000000
29	29	1.000000	58.000000
31	31	1.000000	58.000000
10	10	1.000000	3.000000
-35	-35	1.000000	10.000000
19	19	1.000000	11.000000
15	15	1.000000	11.000000
22	22	1.000000	11.000000
20	20	1.000000	9.000000
13	13	1.000000	18.000000
-34	-34	1.000000	13.000000
-37	-37	1.000000	13.000000
16	16	1.000000	13.000000
13	13	1.000000	13.000000
15	15	1.000000	15.000000
18	18	1.000000	15.000000
11	11	1.000000	14.000000
22	22	1.000000	14.000000
20	20	1.000000	14.000000
17	17	1.000000	20.000000
20	20	1.000000	20.000000
13	13	1.000000	16.000000
11	11	1.000000	16.000000
25	25	1.000000	16.000000
20	20	1.000000	17.000000
17	17	1.000000	17.000000
15	15	1.000000	17.000000
42	42	1.000000	17.000000
22	22	1.000000	17.000000
19	19	1.000000	19.000000
15	15	1.000000	19.000000
23	23	1.000000	19.000000
22	22	1.000000	24.000000
17	17	1.000000	22.000000
20	20	1.000000	22.000000
